station_id,lat,lng,_persons15
231,41.9617,-87.6546,29812
232,41.9493,-87.6463,25900
233,41.8832,-87.6511,13268
234,41.9616,-87.666,17933
236,41.9076,-87.6386,24753
237,41.8421,-87.617,7896
238,41.9614,-87.6762,16066
239,41.9665,-87.6884,16342
240,41.9542,-87.6544,26176
241,41.8717,-87.651,6544
242,41.9671,-87.679,16572
243,41.963,-87.6848,17135
244,41.9547,-87.6739,16269
245,41.961,-87.6496,20526
246,41.9561,-87.6688,16206
247,41.7952,-87.5807,9934
248,41.7953,-87.5965,17266
249,41.964,-87.6382,2234
250,41.9361,-87.6698,17866
251,41.968,-87.65,25464
252,41.8098,-87.5994,12993
253,41.9688,-87.6577,30519
254,41.9544,-87.648,28228
255,41.8679,-87.623,17201
256,41.9528,-87.65,31246
257,41.9488,-87.6753,17889
258,41.9295,-87.6842,5826
259,41.9185,-87.6974,19708
260,41.9296,-87.7079,21887
261,41.8715,-87.6699,6732
262,41.8271,-87.6457,8827
263,41.8362,-87.6135,9510
264,41.8868,-87.6223,24069
265,41.823,-87.6071,9251
267,41.8094,-87.5919,10165
268,41.9117,-87.6268,16304
270,41.7587,-87.5869,9537
271,41.8165,-87.6066,12822
272,41.8388,-87.6219,10816
273,41.8578,-87.6246,18484
274,41.8613,-87.6566,17638
275,41.8652,-87.6665,8878
276,41.9104,-87.6972,17334
277,41.8911,-87.6666,12919
278,41.8306,-87.6413,11460
279,41.8307,-87.6472,12444
280,41.8378,-87.6511,17860
281,41.8485,-87.6851,14225
282,41.8649,-87.6471,8126
283,41.8782,-87.6319,13154
284,41.8779,-87.6241,10466
285,41.8899,-87.6715,9122
286,41.8794,-87.6355,11259
287,41.8803,-87.6352,11056
288,41.9181,-87.6437,22044
289,41.9121,-87.6347,25070
290,41.9215,-87.7073,22323
291,41.9067,-87.6348,34860
292,41.9571,-87.6642,14498
293,41.9652,-87.6581,28919
294,41.9784,-87.6598,24972
295,41.9738,-87.6597,27397
296,41.9401,-87.6455,32726
297,41.9615,-87.6714,17555
298,41.956,-87.6803,15796
299,41.9437,-87.649,33114
300,41.9377,-87.6441,35678
301,41.908,-87.6315,33215
302,41.9287,-87.6538,22706
303,41.9455,-87.6464,32622
304,41.9491,-87.6486,30416
305,41.9029,-87.6873,20353
306,41.9585,-87.655,28108
307,41.9208,-87.6637,11381
308,41.9434,-87.6796,17544
309,41.9178,-87.6824,18338
310,41.9201,-87.6779,11450
311,41.9689,-87.684,16895
312,41.9579,-87.6495,27344
313,41.9259,-87.639,21348
314,41.9579,-87.6736,17474
315,41.9129,-87.6642,3623
316,41.9633,-87.6793,18022
317,41.8692,-87.671,5312
318,41.9542,-87.6644,18013
319,41.9326,-87.6659,19685
320,41.8722,-87.6615,11274
321,41.8708,-87.6257,22355
322,41.7996,-87.5947,17919
323,41.9695,-87.6547,29354
324,41.9313,-87.6387,27048
325,41.9733,-87.6678,18922
326,41.9671,-87.6674,19029
327,41.9215,-87.6538,18883
328,41.7887,-87.6013,7575
329,41.9326,-87.6364,21817
330,41.9462,-87.6733,19659
331,41.9097,-87.6481,12415
332,41.9331,-87.6478,32287
333,41.9071,-87.6673,16372
334,41.9408,-87.6392,26721
335,41.8314,-87.618,12086
336,41.8099,-87.6068,14225
337,41.8968,-87.6309,34644
337,41.8968,-87.6309,34261
337,41.8968,-87.6309,34261
337,41.89654,-87.6309,34644
337,41.89654,-87.6309,34261
337,41.89654,-87.6309,34261
337,41.89654,-87.6309,34644
337,41.89654,-87.6309,34261
337,41.89654,-87.6309,34261
338,41.8576,-87.6194,10438
338,41.8576,-87.6194,10438
338,41.8576,-87.6194,10438
338,41.85761,-87.6194,10438
338,41.85761,-87.6194,10438
338,41.85761,-87.6194,10438
338,41.85761,-87.6194,10438
338,41.85761,-87.6194,10438
338,41.85761,-87.6194,10438
339,41.8382,-87.6451,20883
340,41.9295,-87.6431,30477
341,41.8661,-87.6073,0
342,41.8713,-87.6737,4903
343,41.9289,-87.659,24778
344,41.9691,-87.6742,15487
345,41.7932,-87.5878,14688
346,41.8828,-87.6612,9281
347,41.9507,-87.6687,19578
348,41.8538,-87.6957,14622
349,41.9291,-87.6491,29938
350,41.896,-87.6677,20795
351,41.803,-87.6066,14308
352,41.7735,-87.5771,10799
353,42.0126,-87.6744,23890
354,42.0106,-87.6624,21562
355,41.7736,-87.5675,8562
356,41.7665,-87.5865,13375
359,41.9035,-87.6434,13777
364,41.9002,-87.643,12553
365,41.8994,-87.6485,5252
366,41.8416,-87.6574,9622
367,41.8307,-87.656,8950
368,41.8392,-87.6656,3131
369,41.8301,-87.6703,12091
370,41.8542,-87.6192,9428
373,41.8955,-87.7061,10822
374,41.8984,-87.6866,19628
375,41.8905,-87.7026,5354
376,41.8895,-87.6882,5674
377,41.8846,-87.7063,6588
378,41.8845,-87.6963,6285
381,41.8798,-87.6861,9739
382,41.8747,-87.6864,10746
383,41.873,-87.6691,6806
384,41.8018,-87.6452,5939
385,41.795,-87.6331,4072
386,41.7929,-87.645,7468
388,41.7794,-87.6446,9285
390,41.7801,-87.6297,5719
391,41.7691,-87.6446,10603
392,41.7693,-87.6282,9148
393,41.7655,-87.6169,10634
394,41.8708,-87.6312,16151
395,41.7571,-87.5758,14376
396,41.7588,-87.5664,18317
398,41.7579,-87.5494,4977
399,41.7622,-87.5593,12707
400,41.7657,-87.605,7547
401,41.8427,-87.6355,14197
402,41.8385,-87.6354,13122
403,41.8345,-87.6318,6622
405,41.8308,-87.6325,6614
406,41.8313,-87.6088,8974
407,41.823,-87.6266,6128
408,41.8191,-87.6433,5638
409,41.8162,-87.6348,6002
410,41.8167,-87.6194,10750
411,41.8081,-87.6456,5470
412,41.8093,-87.6334,4770
413,41.8141,-87.597,10005
414,41.8703,-87.6395,2006
415,41.8023,-87.6181,10253
416,41.8058,-87.5925,12077
417,41.8024,-87.5869,16762
418,41.7993,-87.601,15356
419,41.7995,-87.5864,20217
420,41.7943,-87.6015,11084
421,41.7934,-87.6159,5886
422,41.7916,-87.6079,5155
423,41.7915,-87.5999,7130
424,41.7917,-87.5839,10480
425,41.7879,-87.5883,10304
426,41.7851,-87.6011,10095
427,41.7806,-87.6061,12767
428,41.7804,-87.5914,9305
429,41.7737,-87.6056,7907
430,41.7801,-87.6159,11494
431,41.7841,-87.6133,12095
432,42.0091,-87.6742,25246
433,41.8736,-87.7049,8802
434,41.8665,-87.6847,5120
435,41.8665,-87.7065,10253
436,41.8666,-87.6945,6460
437,41.8619,-87.6935,4510
438,41.8542,-87.7154,17870
439,41.8535,-87.7051,19126
440,41.8481,-87.7151,22726
441,41.8482,-87.7054,25240
442,41.8491,-87.6951,17439
443,41.8446,-87.7159,27820
444,41.8445,-87.702,30166
445,41.844,-87.6953,21452
446,41.8415,-87.6851,2262
447,42.008,-87.6655,24318
448,42.0046,-87.6807,16963
449,42.0045,-87.6724,21654
450,42.0018,-87.6888,15168
451,42.001,-87.6612,24940
452,41.9942,-87.6894,20252
453,41.9993,-87.6714,19069
454,41.9948,-87.6603,27606
455,41.9902,-87.6934,17058
456,41.9912,-87.6836,10098
457,41.9905,-87.6698,18990
458,41.9897,-87.6601,30300
459,41.984,-87.6523,19591
460,41.9836,-87.6692,16273
461,41.984,-87.6603,28639
462,41.9798,-87.6775,9545
463,41.978,-87.668,18747
464,41.9756,-87.6795,14756
465,41.9716,-87.6502,20557
466,42.0121,-87.6829,20812
467,42.0086,-87.6905,16579
468,41.9837,-87.6964,15481
469,41.9804,-87.7161,9922
470,41.9757,-87.7093,16619
471,41.9756,-87.7014,14794
472,41.9749,-87.6925,16798
474,41.9684,-87.7118,29318
475,41.969,-87.696,15810
476,41.9667,-87.7081,24070
477,41.9659,-87.7008,17250
478,41.9659,-87.6936,14131
479,41.9612,-87.7166,27291
480,41.961,-87.7059,24066
481,41.9611,-87.6954,13506
482,41.9615,-87.6912,13955
483,41.9534,-87.732,11857
484,41.954,-87.7191,18630
485,41.9536,-87.7093,21536
486,41.9543,-87.6861,13038
487,41.9522,-87.6981,11404
488,41.9463,-87.731,12261
489,41.9473,-87.7176,11396
490,41.9452,-87.7066,12739
491,41.9466,-87.6946,6897
492,41.9467,-87.6834,14536
493,41.943,-87.6873,11106
494,41.9824,-87.7089,10543
495,41.9611,-87.729,19299
496,41.9394,-87.7236,22412
497,41.9394,-87.7116,17833
498,41.9384,-87.698,10153
499,41.9306,-87.7238,19148
500,41.9353,-87.7169,27542
501,41.9319,-87.7012,17891
502,41.9267,-87.6977,16155
503,41.9244,-87.7154,24382
504,41.9246,-87.6893,12721
505,41.9241,-87.6765,6396
506,41.9171,-87.7102,22176
507,41.9175,-87.7018,19509
508,41.9097,-87.7166,19648
509,41.9098,-87.7053,14813
510,41.9027,-87.7092,13130
511,41.914,-87.7051,16762
514,42.0193,-87.6845,11252
515,42.0192,-87.6736,17087
517,42.016,-87.675,23959
518,41.8855,-87.7169,8742
519,42.017,-87.6777,14887
520,42.016,-87.6686,21417
522,42.0195,-87.6696,16094
523,42.0209,-87.6651,13267
524,41.8949,-87.7747,8138
525,42.0127,-87.6661,24524
526,42.0123,-87.6882,19339
527,42.0189,-87.69,10192
528,41.8854,-87.7265,6339
529,41.8868,-87.7453,9722
530,41.8878,-87.7555,15927
531,41.8877,-87.7655,15405
532,41.8879,-87.7744,8516
533,41.8757,-87.7155,10310
534,41.8809,-87.7279,11664
535,41.8743,-87.7257,11826
536,41.8859,-87.7354,6238
537,41.8807,-87.741,13883
538,41.8721,-87.7466,7672
539,41.8776,-87.7454,13896
540,41.8802,-87.7553,17547
541,41.873,-87.7645,6909
542,41.8801,-87.7632,16876
543,41.8758,-87.7553,14204
544,41.8803,-87.7745,7012
545,41.8779,-87.7357,12093
546,41.8232,-87.6766,7281
547,41.8235,-87.6656,5867
548,41.8236,-87.6509,3286
549,41.814,-87.6666,10153
550,41.895,-87.7649,14411
551,41.8082,-87.6772,13762
552,41.8089,-87.6645,18124
553,41.8084,-87.6565,8586
554,41.8009,-87.6747,16382
555,41.803,-87.6647,19269
556,41.7997,-87.6572,11078
557,41.7941,-87.6755,8900
558,41.7928,-87.6644,10440
559,41.7942,-87.6551,9870
560,41.7868,-87.6662,9845
561,41.786,-87.6742,6997
562,41.7832,-87.6544,9161
563,41.7794,-87.6648,11675
564,41.7754,-87.6543,9420
565,41.7741,-87.6638,11346
566,41.7687,-87.6641,12095
567,41.7689,-87.6529,11096
568,41.758,-87.6312,8600
569,41.7592,-87.5958,6656
570,41.7585,-87.6064,10136
571,41.7584,-87.6141,11906
572,41.757,-87.6246,7760
573,41.7508,-87.6244,8115
574,41.7509,-87.6138,13718
