station_id,lat,lng,_persons15
164,41.8858,-87.6355,3466
165,41.9508,-87.6592,636
166,41.9288,-87.6685,371
167,41.8492,-87.6756,339
168,41.8641,-87.6237,463
169,41.8743,-87.6396,1286
170,41.858,-87.6408,217
171,41.8551,-87.6541,373
172,41.9023,-87.6277,1390
173,41.8969,-87.6217,1894
174,41.8821,-87.6398,2535
175,41.8726,-87.6335,1064
176,41.903,-87.6313,1366
177,41.9263,-87.6308,154
178,41.8566,-87.6275,578
179,41.8246,-87.6168,138
180,41.9069,-87.6262,937
181,41.8908,-87.6317,3393
182,41.9032,-87.6343,1134
183,41.9013,-87.6774,739
184,41.8309,-87.628,148
185,41.9177,-87.6914,524
186,41.8918,-87.6588,511
188,41.9253,-87.6658,387
190,41.9288,-87.6639,441
191,41.8817,-87.6395,2393
192,41.8793,-87.6399,2183
193,41.8417,-87.6269,119
194,41.8869,-87.626,3993
195,41.8847,-87.6195,1646
196,41.8906,-87.6221,2472
197,41.8821,-87.6251,3213
198,41.8819,-87.6488,1461
199,41.8915,-87.6268,3352
200,41.8099,-87.6163,177
201,41.8217,-87.6216,101
202,41.8575,-87.6463,337
203,41.8541,-87.6858,315
204,41.7949,-87.6187,98
205,41.8579,-87.6687,326
206,41.8472,-87.6468,209
207,41.8436,-87.6454,174
208,41.8549,-87.6636,420
209,41.8495,-87.6406,394
210,41.9035,-87.6677,719
211,41.8944,-87.6227,2602
212,41.8899,-87.6343,3356
213,41.9102,-87.6823,711
214,41.8912,-87.6769,521
215,41.8814,-87.6749,222
216,41.903,-87.6975,201
217,41.8866,-87.658,716
218,41.8568,-87.6339,30
219,41.916,-87.6773,585
220,41.9312,-87.6443,796
222,41.9202,-87.693,511
223,41.9182,-87.6569,465
224,41.9139,-87.6488,570
225,41.9199,-87.6488,551
226,41.9397,-87.6589,769
227,41.9482,-87.6639,572
228,41.9406,-87.6785,425
229,41.9437,-87.664,666
230,41.9433,-87.671,609
231,41.9617,-87.6546,424
232,41.9493,-87.6463,448
233,41.8832,-87.6511,1243
234,41.9616,-87.666,410
236,41.9076,-87.6386,551
237,41.8421,-87.617,52
238,41.9614,-87.6762,531
239,41.9665,-87.6884,474
240,41.9542,-87.6544,522
241,41.8717,-87.651,201
242,41.9671,-87.679,524
243,41.963,-87.6848,555
244,41.9547,-87.6739,475
245,41.961,-87.6496,232
246,41.9561,-87.6688,357
247,41.7952,-87.5807,156
248,41.7953,-87.5965,257
249,41.964,-87.6382,17
250,41.9361,-87.6698,408
251,41.968,-87.65,293
252,41.8098,-87.5994,139
253,41.9688,-87.6577,470
254,41.9544,-87.648,322
255,41.8679,-87.623,477
256,41.9528,-87.65,498
257,41.9488,-87.6753,434
258,41.9295,-87.6842,239
259,41.9185,-87.6974,433
260,41.9296,-87.7079,467
261,41.8715,-87.6699,181
262,41.8271,-87.6457,223
263,41.8362,-87.6135,79
264,41.8868,-87.6223,2854
265,41.823,-87.6071,93
267,41.8094,-87.5919,135
268,41.9117,-87.6268,366
270,41.7587,-87.5869,120
271,41.8165,-87.6066,141
272,41.8388,-87.6219,128
273,41.8578,-87.6246,470
274,41.8613,-87.6566,276
275,41.8652,-87.6665,204
276,41.9104,-87.6972,257
277,41.8911,-87.6666,545
